issue,number,state,link,repository_name,trimmed_list_lemmatize,trimmed_list_stemming
" When I run the sample project, an error occurs.",173,open,https://github.com/yuzushioh/EthereumKit/issues/173,yuzushioh/EthereumKit,"['when', 'i', 'run', 'sample', 'project', 'error', 'occurs']","['when', 'i', 'run', 'sampl', 'project', 'error', 'occur']"
Fix english mistake,172,closed,https://github.com/yuzushioh/EthereumKit/issues/172,yuzushioh/EthereumKit,"['fix', 'english', 'mistake']","['fix', 'english', 'mistak']"
Run issus Symbol not found,171,closed,https://github.com/yuzushioh/EthereumKit/issues/171,yuzushioh/EthereumKit,"['run', 'issus', 'symbol', 'found']","['run', 'issu', 'symbol', 'found']"
Add Rinkeby test network,170,closed,https://github.com/yuzushioh/EthereumKit/issues/170,yuzushioh/EthereumKit,"['add', 'rinkeby', 'test', 'network']","['add', 'rinkebi', 'test', 'network']"
How can I generate Mnemonic by privateKey?,169,open,https://github.com/yuzushioh/EthereumKit/issues/169,yuzushioh/EthereumKit,"['how', 'i', 'generate', 'mnemonic', 'privatekey']","['how', 'i', 'gener', 'mnemon', 'privatekey']"
HDWallet.privateKey().raw returns 31 byte key instead of 32-byte,168,open,https://github.com/yuzushioh/EthereumKit/issues/168,yuzushioh/EthereumKit,"['hdwalletprivatekeyraw', 'return', '31', 'byte', 'key', 'instead', '32byte']","['hdwallet', 'privatekey', 'raw', 'return', '31', 'byte', 'key', 'instead', '32', 'byte']"
"URL request timeout is hard-coded to 10 seconds, need to have it as default (60 seconds)",167,open,https://github.com/yuzushioh/EthereumKit/issues/167,yuzushioh/EthereumKit,"['url', 'request', 'timeout', 'hardcoded', '10', 'second', 'need', 'default', '60', 'second']","['url', 'request', 'timeout', 'hard', 'code', '10', 'second', 'need', 'default', '60', 'second']"
Fix broken link to documentation,166,closed,https://github.com/yuzushioh/EthereumKit/issues/166,yuzushioh/EthereumKit,"['fix', 'broken', 'link', 'documentation']","['fix', 'broken', 'link', 'document']"
swift5?,165,open,https://github.com/yuzushioh/EthereumKit/issues/165,yuzushioh/EthereumKit,['swift5'],['swift5']
"The infra endpoint has changed, so we need to fix it.",164,open,https://github.com/yuzushioh/EthereumKit/issues/164,yuzushioh/EthereumKit,"['the', 'infra', 'endpoint', 'changed', 'need', 'fix']","['the', 'infra', 'endpoint', 'chang', 'need', 'fix']"
Module compiled with Swift 4.2.1 cannot be imported by the Swift 5.0 compiler,163,open,https://github.com/yuzushioh/EthereumKit/issues/163,yuzushioh/EthereumKit,"['module', 'compiled', 'swift', '421', 'imported', 'swift', '50', 'compiler']","['modul', 'compil', 'swift', '4', '2', '1', 'import', 'swift', '5', '0', 'compil']"
