issue,number,state,link
update go mod version to match go build version,22355,open,https://github.com/ethereum/go-ethereum/issues/22355
RISC-V support,22354,open,https://github.com/ethereum/go-ethereum/issues/22354
"travis, appveyor, build: bump Go to 1.16",22351,open,https://github.com/ethereum/go-ethereum/issues/22351
cmd/utils: disable caching preimages by default,22350,open,https://github.com/ethereum/go-ethereum/issues/22350
"les, light: resend if the transaction is not retrieved back",22349,open,https://github.com/ethereum/go-ethereum/issues/22349
"GETH Trusted, Static and Bootstrap Peers",22348,open,https://github.com/ethereum/go-ethereum/issues/22348
les: rename lespay to vflux,22347,closed,https://github.com/ethereum/go-ethereum/issues/22347
core: fix potential race in chainIndexerTest,22346,open,https://github.com/ethereum/go-ethereum/issues/22346
error deploy contract in private network,22345,open,https://github.com/ethereum/go-ethereum/issues/22345
Faucet Offline,22344,closed,https://github.com/ethereum/go-ethereum/issues/22344
les: fix balance expiration,22343,closed,https://github.com/ethereum/go-ethereum/issues/22343
Feature request: implement debug_accountAt (as implemented by turbo-geth),22342,open,https://github.com/ethereum/go-ethereum/issues/22342
"internal/debug: rename flags in log namespace, fix some pprof flags",22341,open,https://github.com/ethereum/go-ethereum/issues/22341
core/state: copy the snap when copying the state,22340,closed,https://github.com/ethereum/go-ethereum/issues/22340
internal/ethapi: disable sending of non eip155 replay protected tx,22339,open,https://github.com/ethereum/go-ethereum/issues/22339
Bsc into Geth.,22337,closed,https://github.com/ethereum/go-ethereum/issues/22337
rlp: handle case of normal EOF in Stream.readFull(),22336,closed,https://github.com/ethereum/go-ethereum/issues/22336
Not suitable peers in geth 1.9.25 and not syncing ,22335,closed,https://github.com/ethereum/go-ethereum/issues/22335
eth: fix snap sync cancellation,22334,closed,https://github.com/ethereum/go-ethereum/issues/22334
"core, eth/tracer: initialize tracer statedb in CaptureStart",22333,open,https://github.com/ethereum/go-ethereum/issues/22333
trie: fix bloom crash on fast sync restart,22332,closed,https://github.com/ethereum/go-ethereum/issues/22332
core/state/snapshot: ensure Cap retains a min number of layers,22331,closed,https://github.com/ethereum/go-ethereum/issues/22331
Multiple miner instances doing the same job,22330,closed,https://github.com/ethereum/go-ethereum/issues/22330
Create go-eth,22329,closed,https://github.com/ethereum/go-ethereum/issues/22329
Importing new blocks takes a very long time (~1m),22328,open,https://github.com/ethereum/go-ethereum/issues/22328
rpc: prevent race between Unsubscribe and forward,22327,open,https://github.com/ethereum/go-ethereum/issues/22327
fixed typo :),22326,closed,https://github.com/ethereum/go-ethereum/issues/22326
"""solc"" is not found in $PATH",22325,closed,https://github.com/ethereum/go-ethereum/issues/22325
Github <> Slack integration,22324,closed,https://github.com/ethereum/go-ethereum/issues/22324
miner: --miner.notify.full flag: enable full pending block notifications,22323,open,https://github.com/ethereum/go-ethereum/issues/22323
Rare occurences of panic: send on closed channel in rpc/subscription.go,22322,open,https://github.com/ethereum/go-ethereum/issues/22322
les: enable les/4 and add tests,22321,closed,https://github.com/ethereum/go-ethereum/issues/22321
eth2: catalyst RPC calls and command line options,22320,open,https://github.com/ethereum/go-ethereum/issues/22320
core: fix temp memory blowup caused by defers holding on to state,22319,closed,https://github.com/ethereum/go-ethereum/issues/22319
core package tests exhibit data race,22318,open,https://github.com/ethereum/go-ethereum/issues/22318
