issue,number,link,trimmed_list_lemmatize,trimmed_list_stemming
Faucet Offline,22344,https://github.com/ethereum/go-ethereum/issues/22344,"['faucet', 'offline']","['faucet', 'offlin']"
les: fix balance expiration,22343,https://github.com/ethereum/go-ethereum/issues/22343,"['le', 'fix', 'balance', 'expiration']","['le', 'fix', 'balanc', 'expir']"
Feature request: implement debug_accountAt (as implemented by turbo-geth),22342,https://github.com/ethereum/go-ethereum/issues/22342,"['feature', 'request', 'implement', 'debug_accountat', 'implemented', 'turbogeth']","['featur', 'request', 'implement', 'debug_accountat', 'implement', 'turbo', 'geth']"
"internal/debug: rename flags in log namespace, fix some pprof flags",22341,https://github.com/ethereum/go-ethereum/issues/22341,"['internaldebug', 'rename', 'flag', 'log', 'namespace', 'fix', 'pprof', 'flag']","['intern', 'debug', 'renam', 'flag', 'log', 'namespac', 'fix', 'pprof', 'flag']"
core/state: copy the snap when copying the state,22340,https://github.com/ethereum/go-ethereum/issues/22340,"['corestate', 'copy', 'snap', 'copying', 'state']","['core', 'state', 'copi', 'snap', 'copi', 'state']"
internal/ethapi: disable sending of non eip155 replay protected tx,22339,https://github.com/ethereum/go-ethereum/issues/22339,"['internalethapi', 'disable', 'sending', 'non', 'eip155', 'replay', 'protected', 'tx']","['intern', 'ethapi', 'disabl', 'send', 'non', 'eip155', 'replay', 'protect', 'tx']"
Bsc into Geth.,22337,https://github.com/ethereum/go-ethereum/issues/22337,"['bsc', 'geth']","['bsc', 'geth']"
rlp: handle case of normal EOF in Stream.readFull(),22336,https://github.com/ethereum/go-ethereum/issues/22336,"['rlp', 'handle', 'case', 'normal', 'eof', 'streamreadfull']","['rlp', 'handl', 'case', 'normal', 'eof', 'stream', 'readful']"
Not suitable peers in geth 1.9.25 and not syncing,22335,https://github.com/ethereum/go-ethereum/issues/22335,"['not', 'suitable', 'peer', 'geth', '1925', 'syncing']","['not', 'suitabl', 'peer', 'geth', '1', '9', '25', 'sync']"
eth: fix snap sync cancellation,22334,https://github.com/ethereum/go-ethereum/issues/22334,"['eth', 'fix', 'snap', 'sync', 'cancellation']","['eth', 'fix', 'snap', 'sync', 'cancel']"
"core, eth/tracer: initialize tracer statedb in CaptureStart",22333,https://github.com/ethereum/go-ethereum/issues/22333,"['core', 'ethtracer', 'initialize', 'tracer', 'statedb', 'capturestart']","['core', 'eth', 'tracer', 'initi', 'tracer', 'statedb', 'capturestart']"
trie: fix bloom crash on fast sync restart,22332,https://github.com/ethereum/go-ethereum/issues/22332,"['trie', 'fix', 'bloom', 'crash', 'fast', 'sync', 'restart']","['trie', 'fix', 'bloom', 'crash', 'fast', 'sync', 'restart']"
core/state/snapshot: ensure Cap retains a min number of layers,22331,https://github.com/ethereum/go-ethereum/issues/22331,"['corestatesnapshot', 'ensure', 'cap', 'retains', 'min', 'number', 'layer']","['core', 'state', 'snapshot', 'ensur', 'cap', 'retain', 'min', 'number', 'layer']"
Multiple miner instances doing the same job,22330,https://github.com/ethereum/go-ethereum/issues/22330,"['multiple', 'miner', 'instance', 'job']","['multipl', 'miner', 'instanc', 'job']"
Create go-eth,22329,https://github.com/ethereum/go-ethereum/issues/22329,"['create', 'goeth']","['creat', 'go', 'eth']"
Importing new blocks takes a very long time (~1m),22328,https://github.com/ethereum/go-ethereum/issues/22328,"['importing', 'new', 'block', 'take', 'long', 'time', '1m']","['import', 'new', 'block', 'take', 'long', 'time', '1m']"
rpc: prevent race between Unsubscribe and forward,22327,https://github.com/ethereum/go-ethereum/issues/22327,"['rpc', 'prevent', 'race', 'unsubscribe', 'forward']","['rpc', 'prevent', 'race', 'unsubscrib', 'forward']"
fixed typo :),22326,https://github.com/ethereum/go-ethereum/issues/22326,"['fixed', 'typo']","['fix', 'typo']"
"""solc"" is not found in $PATH",22325,https://github.com/ethereum/go-ethereum/issues/22325,"['solc', 'found', 'path']","['solc', 'found', 'path']"
Github <> Slack integration,22324,https://github.com/ethereum/go-ethereum/issues/22324,"['github', 'slack', 'integration']","['github', 'slack', 'integr']"
miner: --miner.notify.full flag: enable full pending block notifications,22323,https://github.com/ethereum/go-ethereum/issues/22323,"['miner', 'minernotifyfull', 'flag', 'enable', 'full', 'pending', 'block', 'notification']","['miner', 'miner', 'notifi', 'full', 'flag', 'enabl', 'full', 'pend', 'block', 'notif']"
Rare occurences of panic: send on closed channel in rpc/subscription.go,22322,https://github.com/ethereum/go-ethereum/issues/22322,"['rare', 'occurences', 'panic', 'send', 'closed', 'channel', 'rpcsubscriptiongo']","['rare', 'occur', 'panic', 'send', 'close', 'channel', 'rpc', 'subscript', 'go']"
les: enable les/4 and add tests,22321,https://github.com/ethereum/go-ethereum/issues/22321,"['le', 'enable', 'les4', 'add', 'test']","['le', 'enabl', 'le', '4', 'add', 'test']"
eth2: catalyst RPC calls and command line options,22320,https://github.com/ethereum/go-ethereum/issues/22320,"['eth2', 'catalyst', 'rpc', 'call', 'command', 'line', 'option']","['eth2', 'catalyst', 'rpc', 'call', 'command', 'line', 'option']"
core: fix temp memory blowup caused by defers holding on to state,22319,https://github.com/ethereum/go-ethereum/issues/22319,"['core', 'fix', 'temp', 'memory', 'blowup', 'caused', 'defers', 'holding', 'state']","['core', 'fix', 'temp', 'memori', 'blowup', 'caus', 'defer', 'hold', 'state']"
core package tests exhibit data race,22318,https://github.com/ethereum/go-ethereum/issues/22318,"['core', 'package', 'test', 'exhibit', 'data', 'race']","['core', 'packag', 'test', 'exhibit', 'data', 'race']"
trace a pending transaction based on calldata,22317,https://github.com/ethereum/go-ethereum/issues/22317,"['trace', 'pending', 'transaction', 'based', 'calldata']","['trace', 'pend', 'transact', 'base', 'calldata']"
rpc: increase the number of subscriptions in storm test,22316,https://github.com/ethereum/go-ethereum/issues/22316,"['rpc', 'increase', 'number', 'subscription', 'storm', 'test']","['rpc', 'increas', 'number', 'subscript', 'storm', 'test']"
cmd/devp2p/internal/ethtest: use shared message types,22315,https://github.com/ethereum/go-ethereum/issues/22315,"['cmddevp2pinternalethtest', 'use', 'shared', 'message', 'type']","['cmd', 'devp2p', 'intern', 'ethtest', 'use', 'share', 'messag', 'type']"
TestClientNotificationStorm is broken on FreeBSD,22314,https://github.com/ethereum/go-ethereum/issues/22314,"['testclientnotificationstorm', 'broken', 'freebsd']","['testclientnotificationstorm', 'broken', 'freebsd']"
